Economy_Label,CargoType_Label,2016_Metric_tons_in_thousands_Value,2017_Metric_tons_in_thousands_Value,2018_Metric_tons_in_thousands_Value,2019_Metric_tons_in_thousands_Value,2020_Metric_tons_in_thousands_Value,2021_Metric_tons_in_thousands_Value
"Maldives","Total goods loaded",191,352,136,145,97,180
"Maldives","Total goods discharged",3981,3326,4850,4011,2692,3196
"Mali","Total goods loaded",216,220,159,154,249,351
"Mali","Total goods discharged",2668,2889,2858,3257,3423,3576
"Malta","Total goods loaded",5052,6221,5467,4995,3672,5125
"Malta","Total goods discharged",7033,6706,6050,6553,4513,4251
"Marshall Islands","Total goods loaded",984,705,686,870,506,1235
"Marshall Islands","Total goods discharged",8630,7514,6291,6617,8473,7957
"Mauritania","Total goods loaded",5072,5031,4998,6336,5595,5722
"Mauritania","Total goods discharged",2479,3042,3626,3921,4028,3737
"Mauritius","Total goods loaded",1444,1169,1195,1299,1187,1163
"Mauritius","Total goods discharged",4891,5759,4800,5280,4315,4640
"Mexico","Total goods loaded",138915,125362,129051,130413,140372,145562
"Mexico","Total goods discharged",117234,134879,143843,141840,120092,168718
"Micronesia (Federated States of)","Total goods loaded",43,53,74,96,84,138
"Micronesia (Federated States of)","Total goods discharged",,,,,,
"Mongolia","Total goods loaded",6380,14364,15141,15475,12624,8679
"Mongolia","Total goods discharged",1455,1560,1970,2259,2456,2304
"Montenegro","Total goods loaded",254,365,316,347,370,640
"Montenegro","Total goods discharged",1137,1266,1399,1383,1210,1215
"Montserrat","Total goods loaded",12,27,46,34,28,49
"Montserrat","Total goods discharged",26,22,22,19,19,19
"Morocco","Total goods loaded",17233,19840,20945,20807,22231,22699
"Morocco","Total goods discharged",41962,45597,47433,50041,48426,50171
"Mozambique","Total goods loaded",9458,12681,12887,11556,8350,9293
"Mozambique","Total goods discharged",4499,4039,6167,6344,5862,7241
"Myanmar","Total goods loaded",8264,6659,9261,11054,12663,7929
"Myanmar","Total goods discharged",12595,18772,18750,18364,19570,13239
"Namibia","Total goods loaded",1000,1007,1322,1250,1146,1476
"Namibia","Total goods discharged",2388,2542,2630,3264,2866,2966
"Nauru","Total goods loaded",100,135,62,93,184,361
"Nauru","Total goods discharged",21,17,163,82,110,47
"Nepal","Total goods loaded",147,163,156,321,248,441
"Nepal","Total goods discharged",6296,6845,8503,8250,7490,10741
"Netherlands (Kingdom of the)","Total goods loaded",264446,264863,261362,262462,245709,267072
"Netherlands (Kingdom of the)","Total goods discharged",288051,286784,289731,289575,267458,293303
"Netherlands Antilles","Total goods loaded",,,,,,
"Netherlands Antilles","Total goods discharged",,,,,,
"New Caledonia","Total goods loaded",3204,3229,3811,4006,3665,4256
"New Caledonia","Total goods discharged",2412,2346,2537,2491,2525,2366
"New Zealand","Total goods loaded",38891,36191,38637,38825,34482,37787
"New Zealand","Total goods discharged",20473,22602,23218,22453,20839,22244
"Nicaragua","Total goods loaded",1177,1289,1420,1459,1455,1552
"Nicaragua","Total goods discharged",4354,4337,4352,4326,4247,6092
"Niger","Total goods loaded",192,350,264,484,528,633
"Niger","Total goods discharged",495,566,568,692,791,713
"Nigeria","Total goods loaded",99553,104339,108665,111726,104171,98620
"Nigeria","Total goods discharged",25351,27983,17400,25050,41655,25332
"Niue","Total goods loaded",0,81,227,98,110,2
"Niue","Total goods discharged",11,9,10,9,14,12
"Norfolk Island","Total goods loaded",1,2,2,2,2,2
"Norfolk Island","Total goods discharged",10,48,9,11,19,10
"North Macedonia","Total goods loaded",897,931,1026,997,943,1005
"North Macedonia","Total goods discharged",3380,3402,3431,3670,3483,3791
"Northern Mariana Islands","Total goods loaded",2,5,5,6,6,5
"Northern Mariana Islands","Total goods discharged",94,78,93,107,136,47
"Norway","Total goods loaded",150610,157763,149128,143622,144352,155391
"Norway","Total goods discharged",24986,26811,28534,28434,28014,28301
"Oman","Total goods loaded",68888,67594,75552,80646,90043,110326
"Oman","Total goods discharged",22947,24536,22095,22061,25282,27609
"Pakistan","Total goods loaded",10830,12098,14306,14173,13944,15442
"Pakistan","Total goods discharged",49311,66659,71980,66854,70474,83946
"Palau","Total goods loaded",4,11,17,5,38,5
"Palau","Total goods discharged",75,114,103,,,
"Panama","Total goods loaded",3935,4634,3984,4304,3283,3815
"Panama","Total goods discharged",5437,5391,5490,6291,4459,5740
"Papua New Guinea","Total goods loaded",14424,15704,14212,16376,15729,14433
"Papua New Guinea","Total goods discharged",3448,2939,3345,4023,2743,3505
"Paraguay","Total goods loaded",8152,8666,8386,7523,7360,7000
"Paraguay","Total goods discharged",5084,5706,6306,5854,5906,6796
"Peru","Total goods loaded",37794,41802,45335,46717,42207,47912
"Peru","Total goods discharged",31977,35173,35472,34716,30488,36479
"Philippines","Total goods loaded",20293,22299,20567,24506,21247,24587
"Philippines","Total goods discharged",95896,106626,110497,124136,107478,120021
"Pitcairn","Total goods loaded",2,1,6,0,2,2
"Pitcairn","Total goods discharged",1,1,1,7,2,2
"Poland","Total goods loaded",78519,79166,79875,77702,76278,83877
"Poland","Total goods discharged",96611,105635,121411,110513,109353,117215
"Portugal","Total goods loaded",22020,22859,20725,21046,20530,21401
"Portugal","Total goods discharged",39941,43281,44985,41843,35762,38058
"Qatar","Total goods loaded",152091,144868,148397,143604,140940,144212
"Qatar","Total goods discharged",10389,10828,9609,9294,7194,7322
"Republic of Korea","Total goods loaded",179063,181669,180229,184282,178260,177951
"Republic of Korea","Total goods discharged",553981,571579,580138,564222,522087,546555
"Republic of Moldova","Total goods loaded",1380,1770,1746,2033,1515,1814
"Republic of Moldova","Total goods discharged",792,816,894,863,976,1208
"Romania","Total goods loaded",27693,27434,29826,29380,26493,29375
"Romania","Total goods discharged",41685,42062,44109,46869,46329,51800
"Russian Federation","Total goods loaded",778916,815505,864966,858596,853635,849589
"Russian Federation","Total goods discharged",94330,105740,102140,101780,97922,104847
"Rwanda","Total goods loaded",,,,,,
"Rwanda","Total goods discharged",1180,1408,1416,1629,1780,1707
"Saint Barthelemy","Total goods loaded",13,49,12,60,68,50
"Saint Barthelemy","Total goods discharged",44,47,115,77,28,13
"Saint Helena","Total goods loaded",2,7,2,2,1,2
"Saint Helena","Total goods discharged",32,22,21,18,31,28
"Saint Kitts and Nevis","Total goods loaded",54,32,29,13,20,12
"Saint Kitts and Nevis","Total goods discharged",139,124,119,114,118,118
"Saint Lucia","Total goods loaded",339,202,296,255,176,237
"Saint Lucia","Total goods discharged",358,422,364,322,330,442
"Saint Pierre and Miquelon","Total goods loaded",4,1,2,2,3,2
"Saint Pierre and Miquelon","Total goods discharged",41,26,11,10,15,33
"Saint Vincent and the Grenadines","Total goods loaded",209,305,255,274,287,68
"Saint Vincent and the Grenadines","Total goods discharged",307,272,275,267,278,278
"Samoa","Total goods loaded",,,,,,
"Samoa","Total goods discharged",250,327,321,354,302,325
"San Marino","Total goods loaded",17,11,18,18,19,14
"San Marino","Total goods discharged",62,60,60,60,47,67
"Sao Tome and Principe","Total goods loaded",15,11,7,4,8,10
"Sao Tome and Principe","Total goods discharged",111,109,108,110,120,130
"Saudi Arabia","Total goods loaded",449310,438644,455583,447410,427644,418506
"Saudi Arabia","Total goods discharged",49053,49157,47000,53235,57371,60052
"Senegal","Total goods loaded",2802,3352,3255,3703,3386,3559
"Senegal","Total goods discharged",6121,7276,8213,8107,8769,8950
"Serbia","Total goods loaded",4926,5527,5527,6018,5916,6404
"Serbia","Total goods discharged",8637,9821,10309,10817,10606,11332
"Serbia and Montenegro","Total goods loaded",,,,,,
"Serbia and Montenegro","Total goods discharged",,,,,,
"Seychelles","Total goods loaded",226,306,251,235,233,259
"Seychelles","Total goods discharged",439,549,618,572,753,838
"Sierra Leone","Total goods loaded",1014,1991,693,556,574,824
"Sierra Leone","Total goods discharged",909,1253,911,1110,1288,1406
"Singapore","Total goods loaded",106960,125516,125022,117230,107264,110976
"Singapore","Total goods discharged",228420,306423,264264,202834,194656,239503
"Sint Maarten (Dutch part)","Total goods loaded",20,27,20,26,16,51
"Sint Maarten (Dutch part)","Total goods discharged",158,165,220,184,138,179
"Slovakia","Total goods loaded",20505,20890,21286,19920,19539,20988
"Slovakia","Total goods discharged",21893,22501,23208,24692,24492,26036
"Slovenia","Total goods loaded",11574,11750,12552,12388,11879,12450
"Slovenia","Total goods discharged",10774,11404,11642,12394,10932,11037
"Solomon Islands","Total goods loaded",1954,2603,2568,2302,1872,1604
"Solomon Islands","Total goods discharged",313,561,411,,,
"Somalia","Total goods loaded",64,56,46,53,56,84
"Somalia","Total goods discharged",2496,2615,2593,3040,3334,3322
"South Africa","Total goods loaded",108002,123407,121310,123294,115597,125368
"South Africa","Total goods discharged",57008,54857,57848,56485,49874,57197
"South Georgia and the South Sandwich Islands","Total goods loaded",0,0,0,0,0,0
"South Georgia and the South Sandwich Islands","Total goods discharged",0,1,0,0,0,0
"South Sudan","Total goods loaded",4535,3581,3630,3595,2122,1082
"South Sudan","Total goods discharged",520,507,764,726,972,1072
"Spain","Total goods loaded",105761,114039,114854,116232,111442,118923
"Spain","Total goods discharged",200523,219879,220421,212819,181036,198809
"Sri Lanka","Total goods loaded",2274,2267,2357,2314,2375,3035
"Sri Lanka","Total goods discharged",15805,22925,18818,22077,18444,17392
"State of Palestine","Total goods loaded",75,116,125,123,105,105
"State of Palestine","Total goods discharged",1796,2307,2359,2261,2019,2247
"Sudan","Total goods loaded",2061,3074,3194,2599,1990,1645
"Sudan","Total goods discharged",11511,7227,10266,10255,12132,12874
"Sudan (...2011)","Total goods loaded",,,,,,
"Sudan (...2011)","Total goods discharged",,,,,,
"Suriname","Total goods loaded",866,829,1055,937,865,864
"Suriname","Total goods discharged",957,948,818,1001,1105,1024
"Sweden","Total goods loaded",67641,69071,69404,62740,66249,68437
"Sweden","Total goods discharged",67801,67548,72478,67853,63794,64069
"Switzerland","Total goods loaded",20183,23738,18194,19115,19190,20961
"Switzerland","Total goods discharged",17627,17368,16931,16637,16126,16372
"Syrian Arab Republic","Total goods loaded",427,385,368,337,454,577
"Syrian Arab Republic","Total goods discharged",,,,,,
"Tajikistan","Total goods loaded",173,320,360,355,307,316
"Tajikistan","Total goods discharged",1589,1200,1514,1443,1466,1869
"Thailand","Total goods loaded",78459,87320,91097,86934,77534,84895
"Thailand","Total goods discharged",139607,141981,168174,137806,151413,170167
"Timor-Leste","Total goods loaded",92,153,89,193,226,488
"Timor-Leste","Total goods discharged",757,936,798,882,843,913
"Togo","Total goods loaded",2349,3448,3574,4004,3216,4599
"Togo","Total goods discharged",2263,2340,2213,2381,3767,3394
"Tokelau","Total goods loaded",9,117,14,9,48,7
"Tokelau","Total goods discharged",10,133,8,5,6,3
"Tonga","Total goods loaded",11,12,9,10,9,12
"Tonga","Total goods discharged",,,,,,
"Trinidad and Tobago","Total goods loaded",26992,26575,28298,30529,27117,26286
"Trinidad and Tobago","Total goods discharged",9715,8463,8519,5974,3618,3863
"Tunisia","Total goods loaded",5890,5765,7278,6749,5944,6922
"Tunisia","Total goods discharged",13152,13179,13120,12548,12265,13516
"Turkiye","Total goods loaded",57701,63638,77870,89464,90241,103876
"Turkiye","Total goods discharged",178435,192436,186266,181036,190656,196901
"Turkmenistan","Total goods loaded",25822,27386,20113,34042,41586,22122
"Turkmenistan","Total goods discharged",369,366,418,450,589,532
"Turks and Caicos Islands","Total goods loaded",36,12,51,191,165,60
