Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Afghanistan,Angola,9404,2022,18.926329
Afghanistan,Argentina,6109,2022,3.2329648
Afghanistan,Argentina,8517,2022,27.137455
Afghanistan,Australia,2106,2022,1.0796568
Afghanistan,Australia,6109,2022,1.7552755
Afghanistan,Australia,8517,2022,29.989079
Afghanistan,Austria,3304,2022,1.4653713
Afghanistan,Austria,6109,2022,6.380642
Afghanistan,Austria,8517,2022,32.05938
Afghanistan,Austria,9404,2022,28.816908
Afghanistan,Bahrain,2106,2022,1.0831386
Afghanistan,Bahrain,8517,2022,44.945477
Afghanistan,Belgium,2106,2022,1.1291503
Afghanistan,Belgium,8517,2022,49.591747
Afghanistan,Bolivia (Plurinational State of),8517,2022,50.702705
Afghanistan,Bosnia and Herzegovina,8517,2022,55.61624
Afghanistan,Brazil,8517,2022,24.662548
Afghanistan,Chile,6109,2022,4.315709
Afghanistan,Chile,8517,2022,28.433208
Afghanistan,China,2106,2022,2.4022384
Afghanistan,China,3304,2022,4.89507
Afghanistan,China,6109,2022,5.3654275
Afghanistan,China,8517,2022,39.456528
Afghanistan,"China, Hong Kong SAR",8517,2022,32.220783
Afghanistan,Colombia,8517,2022,47.75864
Afghanistan,Costa Rica,9404,2022,27.984089
Afghanistan,Czechia,6109,2022,2.6452425
Afghanistan,Denmark,6109,2022,3.0355904
Afghanistan,Denmark,8517,2022,30.74722
Afghanistan,Denmark,9404,2022,11.361151
Afghanistan,Dominican Republic,8517,2022,29.720173
Afghanistan,Egypt,8517,2022,24.662548
Afghanistan,El Salvador,8517,2022,7.859955
Afghanistan,Eswatini,6109,2022,1.6478236
Afghanistan,Finland,3304,2022,1.3671298
Afghanistan,Finland,6109,2022,2.637105
Afghanistan,Finland,8517,2022,24.665375
Afghanistan,France,2106,2022,1.1981311
Afghanistan,France,3304,2022,4.853428
Afghanistan,France,6109,2022,4.0503874
Afghanistan,France,8517,2022,44.83103
Afghanistan,France,9404,2022,30.144695
Afghanistan,Georgia,6109,2022,5.739218
Afghanistan,Germany,3304,2022,2.689811
Afghanistan,Germany,6109,2022,4.420426
Afghanistan,Germany,8517,2022,53.16634
Afghanistan,Ghana,8517,2022,24.354633
Afghanistan,Greece,8517,2022,53.587334
Afghanistan,Guatemala,2106,2022,1.2418138
Afghanistan,Honduras,2106,2022,2.3882177
Afghanistan,Honduras,8517,2022,24.662548
Afghanistan,Iceland,8517,2022,74.23452
Afghanistan,India,8517,2022,50.68002
