Economy_Label,2016_TEU_Twenty_foot_Equivalent_Unit_Value,2017_TEU_Twenty_foot_Equivalent_Unit_Value,2018_TEU_Twenty_foot_Equivalent_Unit_Value,2019_TEU_Twenty_foot_Equivalent_Unit_Value,2020_TEU_Twenty_foot_Equivalent_Unit_Value,2021_TEU_Twenty_foot_Equivalent_Unit_Value
"Sint Maarten (Dutch part)",97991,98101,101100,105200,,
"Slovenia",844000,911528,988499,959000,945007,997000
"South Africa",4354666,4563618,4892423,4529034,4075618,4415223
"Spain",15073218,15929902,17165709,17464920,16745921,17712459
"Sri Lanka",5734000,6200000,7000000,7230000,6850000,7250000
"Sudan",465355,487336,451712,422597,396267,320274
"Sudan (...2011)",,,,,,
"Suriname",98652,112318,110000,109200,,109600
"Sweden",1509886,1557281,1600175,1623363,1612953,1635183
"Syrian Arab Republic",253415,291958,332532,325097,243348,
"Thailand",9340560,9938881,10371645,10130294,9568488,10436689
"Togo",821639,1193841,1395730,1500611,1725270,1986131
"Trinidad and Tobago",427427,414657,438703,446232,406778,410393
"Tunisia",489670,480619,493366,474222,483178,469658
"Turkiye",8760769,10001342,10801305,11591414,11626578,12591327
"Ukraine",680623,723575,845152,1007273,1048691,1022376
"United Arab Emirates",20652200,19089706,18696000,18802000,18721000,19182000
"United Kingdom",10200229,10239674,10315140,10508000,9732000,10290181
"United Republic of Tanzania",630290,617266,705231,726431,709881,700000
"United States",46940227,50202917,53045976,54259399,53035170,60771719
"Uruguay",888119,939427,797874,749562,764797,977922
"Venezuela (Bolivarian Rep. of)",400962,354540,592374,179529,,
"Viet Nam",11282230,12382524,13394390,15297028,16394723,19821048
"Yemen",268208,334693,398999,464923,423393,418711
